0,Mean LS,Mean LS extension,Max LS,Max LS extension,Onset of Mortality,Onset of Mortality extension,Num mice
215,856,-3.37,1089,-0.06,656,-1.26,15
216,883,-0.28,1111,1.90,646,-2.76,15
217,900,1.60,1121,2.81,661,-0.50,15
218,855,-3.45,1007,-7.65,670,0.95,15
219,859,-3.01,1066,-2.23,632,-4.77,15
220,928,4.77,1147,5.20,729,9.79,15
221,823,-7.13,1039,-4.68,480,-27.76,15
222,820,-7.49,1023,-6.18,427,-35.74,15
223,853,-3.67,1031,-5.38,709,6.73,15
224,928,4.80,1065,-2.29,756,13.91,15
225,820,-7.49,1112,1.99,407,-38.65,15
226,939,6.03,1199,10.03,679,2.26,15
227,893,0.78,1171,7.40,572,-13.81,15
228,912,2.95,1219,11.83,707,6.48,15
229,1013,14.34,1250,14.68,797,20.08,15
230,928,4.74,1108,1.68,768,15.71,15
231,961,8.49,1264,15.96,736,10.89,15
232,881,-0.49,1033,-5.26,588,-11.50,15
233,805,-9.14,1005,-7.80,519,-21.89,15
234,901,1.76,1118,2.54,719,8.23,15
235,931,5.10,1184,8.59,648,-2.41,15
236,955,7.80,1105,1.41,831,25.15,15
237,972,9.74,1217,11.68,637,-4.07,15
238,904,2.07,1074,-1.50,696,4.77,15
239,930,4.98,1207,10.76,655,-1.41,15
240,846,-4.45,1028,-5.69,629,-5.22,15
241,851,-3.90,1079,-0.98,659,-0.75,15
242,910,2.73,1081,-0.80,714,7.53,15
243,922,4.07,1121,2.87,759,14.26,15
244,864,-2.47,1181,8.32,592,-10.89,15
245,896,1.18,1041,-4.53,761,14.56,15
246,902,1.78,1069,-1.93,570,-14.16,15
247,987,11.38,1203,10.37,778,17.17,15
248,863,-2.59,1060,-2.72,667,0.40,15
249,900,1.62,1111,1.90,706,6.33,15
250,857,-3.29,1003,-7.95,736,10.79,15
251,956,7.91,1124,3.15,842,26.81,15
252,901,1.70,1100,0.92,682,2.71,15
253,874,-1.38,1102,1.13,624,-6.07,15
254,908,2.55,1073,-1.53,695,4.72,15
255,952,7.51,1245,14.19,732,10.29,15
256,942,6.32,1205,10.58,711,7.08,15
257,896,1.15,1187,8.93,704,5.97,15
258,950,7.23,1126,3.30,756,13.91,15
259,855,-3.44,1054,-3.30,632,-4.77,15
260,880,-0.65,1111,1.93,665,0.10,15
261,894,0.94,1160,6.39,609,-8.23,15
262,896,1.10,1103,1.16,623,-6.12,15
263,892,0.67,1152,5.72,656,-1.15,15
264,827,-6.61,996,-8.62,629,-5.22,15
265,897,1.25,1040,-4.59,739,11.30,15
266,898,1.40,1167,7.06,584,-12.05,15
267,827,-6.64,1034,-5.17,582,-12.30,15
268,939,6.02,1151,5.57,818,23.24,15
269,875,-1.27,1118,2.54,552,-16.87,15
270,874,-1.39,1045,-4.16,644,-3.01,15
271,933,5.29,1112,2.02,711,7.08,15
272,806,-8.98,1033,-5.20,594,-10.59,15
273,901,1.66,1107,1.53,702,5.77,15
274,922,4.04,1158,6.21,682,2.71,15
275,893,0.76,1149,5.38,728,9.59,15
276,910,2.71,1095,0.43,704,5.97,15
277,870,-1.83,1150,5.50,468,-29.57,15
278,974,9.94,1163,6.70,768,15.71,15
279,921,3.94,1117,2.48,673,1.31,15
280,914,3.16,1115,2.29,758,14.21,15
281,882,-0.46,1086,-0.34,703,5.82,15
282,926,4.53,1094,0.34,734,10.54,15
283,899,1.51,1154,5.87,676,1.76,15
284,856,-3.41,982,-9.88,681,2.61,15
285,999,12.79,1144,4.98,848,27.76,15
286,939,5.97,1178,8.04,724,9.09,15
287,928,4.78,1102,1.10,742,11.70,15
288,868,-2.01,1036,-4.98,678,2.16,15
289,909,2.57,1185,8.72,737,10.94,15
290,880,-0.61,1104,1.25,602,-9.34,15
291,934,5.48,1091,0.06,742,11.75,15
292,877,-0.99,1029,-5.57,729,9.74,15
293,995,12.27,1205,10.58,761,14.56,15
294,905,2.12,1140,4.62,632,-4.87,15
295,936,5.68,1078,-1.10,752,13.25,15
296,938,5.86,1166,6.94,737,10.99,15
297,944,6.56,1133,3.98,791,19.08,15
298,919,3.77,1207,10.73,666,0.35,15
299,922,4.04,1119,2.69,745,12.25,15
300,931,5.06,1066,-2.20,774,16.57,15
301,822,-7.22,1002,-8.10,440,-33.79,15
302,879,-0.77,1128,3.46,635,-4.32,15
303,854,-3.57,1117,2.45,496,-25.25,15
304,878,-0.88,1031,-5.44,697,4.97,15
305,883,-0.37,1120,2.72,516,-22.24,15
306,863,-2.54,1068,-1.99,733,10.39,15
307,954,7.72,1186,8.84,711,7.03,15
308,925,4.44,1207,10.73,686,3.26,15
309,898,1.39,1083,-0.64,649,-2.26,15
310,913,3.10,1168,7.13,622,-6.28,15
311,954,7.72,1096,0.58,790,19.03,15
312,910,2.75,1059,-2.87,692,4.22,15
313,929,4.86,1094,0.37,707,6.43,15
314,1006,13.57,1232,13.03,814,22.59,15
315,863,-2.61,1047,-3.91,611,-7.98,15
316,890,0.52,1185,8.72,517,-22.09,15
317,878,-0.93,1083,-0.61,696,4.82,15
319,905,2.21,1077,-1.22,707,6.48,15
320,863,-2.60,1062,-2.57,601,-9.54,15
321,882,-0.40,1094,0.37,488,-26.46,15
322,933,5.33,1151,5.57,675,1.61,15
323,859,-2.98,1059,-2.81,667,0.50,15
324,852,-3.82,1008,-7.52,708,6.63,15
325,928,4.77,1090,0.03,720,8.48,15
326,930,5.01,1086,-0.37,796,19.93,14
327,991,11.87,1203,10.37,847,27.61,15
328,909,2.58,1166,6.94,713,7.38,15
329,951,7.38,1140,4.56,803,20.98,15
330,936,5.62,1133,3.94,763,14.96,15
331,909,2.59,1112,2.02,680,2.41,15
332,845,-4.63,1046,-4.07,595,-10.44,15
333,852,-3.87,1015,-6.91,610,-8.13,15
334,923,4.24,1244,14.10,666,0.35,15
335,984,11.08,1180,8.23,740,11.50,15
336,895,1.03,1158,6.24,652,-1.76,15
337,830,-6.25,1016,-6.82,620,-6.58,15
338,975,10.09,1159,6.36,834,25.55,15
339,990,11.70,1245,14.19,779,17.27,15
340,961,8.51,1178,8.10,738,11.19,15
341,875,-1.22,1036,-4.95,707,6.48,15
342,930,5.01,1192,9.39,701,5.52,15
343,857,-3.29,1006,-7.74,691,4.07,15
344,885,-0.11,1164,6.76,596,-10.24,15
345,911,2.82,1223,12.23,663,-0.15,15
346,901,1.76,1163,6.67,666,0.25,15
347,912,2.93,1151,5.57,649,-2.31,15
